label,content
1,"Fransa merkezli uluslararasi banka Societe Generale (SocGen), ikinci bir guncelleme yayinlayarak 2021 sonu dolar/TL tahminini 9,80’den 10,30’a cikarirken 2022 sonu icin tahminini 12,5 olarak belirledi."
0,"Goldman Sachs ve Barclays, Merkez Bankasi'nin (TCMB) politika faizini yil sonunda yuzde 15'e indirene kadar faiz indirimlerine devam edecegi, bundan sonra indirimlere ara verecegi tahmininde bulundu."
1,"Italyan banka devi Unicredit, 2021 sonunda dolar kurunun 10,5 ulasmasini, 2022’nin sonunda ise 11,8 olmasini bekliyor."
1,"Banka, 2021 sonunda faizlerin yuzde 14’e inmesini ongorduklerini belirtti."
1,"Turk Lirasi, Asya piyaslarinda dolar karsisinda deger kaybetti."
1,Dolar/TL kuru Asya piyasalarinda 9.85 seviyesinden islem gordu.
1,"Turk Lirasi, yil basindan bu yana dolar karsisinda yuzde 20'den fazla deger kaybetti."
1,Turkiye'de maasini dolarla alan cok azdir. 
1,Ama sunu biliyoruz ki; dolar arttigi zaman tam da o yuzden biz fakirlesiyoruz. 
1,"Turkiye, sayelerinde maasini dolarla alanlar icin cennet oldu. "
1,Maasini dolarla alanlar icin bedava bir ulke oldu Turkiye.
0,Vatandaslarimiz musterih olsun.
0,Ayda 20 milyar dolar ihracat yapiyor ve rekor kiriyoruz.
0,Arttikca dolar bollugu yasanacak ve dusecektir.
0,Belli bir seviyeye cekecegiz.
1,"25 Ekim saat 15.42 itibariyla 1 dolar 9,6630 TL'den islem goruyor."
1,"1 dolarin alis fiyati 9,6711, iken, 1 dolar satis fiyati ise SATIs: 9,6779 TL."
0,"Hazine ve Maliye Bakanligi ile Strateji ve Butce Baskanligi'nca hazirlanan ‘2022 Yili Cumhurbaskanligi Yillik Programi’ Resmi Gazete’de yayimlandi.Programda, buyume ve milli gelir hedeflerine yer verilirken 2020’de yuzde 1,8 olan ekonomik buyume oraninin 2021’de yuzde 9’a yukseldikten sonra 2022’de yuzde 5’e gerileyecegi ifade edildi."
1,"Dolar, rekor ustune rekor kirarken iktidarin ekonomideki butun ongoruleri de coktu."
1,Orta vadeli programa (OVP) gore dolarin 2023’te 9.77 TL olmasi ongoruluyordu.
1,"Oysa dun 9.80’i de asti. Boylece iktidar, dolarda 2023 hedefine 2021’de “ulasma basarisini” gosterdi."
1,"Serbest piyasada 9,5350 liradan alinan dolar, 9,5370 liradan satiliyor."
1,Yabanci bankalar dolar/TL tahminlerini yukari yonlu degistirmeye devam ediyor.
1,"Alman Commerzbank, bugun paylastigi raporda 2022 yili Mart ayi sonu dolar tahminini 10 TL’den 11 TL’ye yukseltti."
1,Bankanin yil sonu dolar/TL tahmini ise 10 seviyesinde bulunuyor.
1,"Turkiye’de faizin yatay seyrettigi donemin eylulde Merkez Bankasi’nin (TCMB) 100 baz puanlik faiz indirimiyle sona erdigi ve sonrasinda 200 baz puanlik daha indirim yapilarak politika faizinin yuzde 16’ya cekildigini, bu adimlar sonrasinda doviz kurlarinin TL karsisinda ucusa gectigini hatirlatan banka, faiz indirimlerinin devam edecegi beklentisini paylasti."
1,Dolar yarin 29 Ekim Cumhuriyet Bayrami olmasi dolayisiyla haftanin son islem gunune 9.51 liradan basladi.
1,Sabah saatlerinde Turkiye Cumhuriyet Merkez Bankasi Baskani sahap Kavcioglu'nun enflasyon raporu sunumu oncesinde ise 9.57 liranin uzerini gordu.
1,"Dolar/TL, Kavcioglu'nun aciklamalari sonrasi 9.62 lirayi asti. "
0,1 Dolar 10 Lira olsa ne olur.
